127.0.0.1 - - [28/Apr/2017:08:38:50 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:40:24 +0800] "GET /scfcloud/login.html HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:40:24 +0800] "GET /scfcloud/js/CloudUtils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:40:24 +0800] "GET /scfcloud/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:40:26 +0800] "GET /scfcloud/login/code HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:40:26 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:14 +0800] "GET /scfcloud/login/code HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:31 +0800] "POST /scfcloud/login?_dc=1493340570840 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:31 +0800] "GET /scfcloud/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:31 +0800] "GET /scfcloud/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:31 +0800] "GET /scfcloud/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:32 +0800] "GET /scfcloud/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:32 +0800] "GET /scfcloud/js/sysManager/tab-accord/tabs-accordions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:32 +0800] "POST /scfcloud/workflow/getOnPassageItemCount?_dc=1493340572314 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:32 +0800] "POST /scfcloud/workflow/getOverItemCount?_dc=1493340572680 HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:38 +0800] "GET /scfcloud/crm/custInfoManager/supplierListManager.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:38 +0800] "POST /scfcloud/corp/list HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "GET /scfcloud/js/autocompleter/jquery.autocompleter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "GET /scfcloud/js/bootstrap-datetimepicker/css/datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "GET /scfcloud/js/autocompleter/jquery.autocompleter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "GET /scfcloud/js/bootstrap-validator/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "GET /scfcloud/js/crm/custInfoManager/attachment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "GET /scfcloud/js/crm/custInfoManager/contractInfoManager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "GET /scfcloud/js/crm/custInfoManager/financeInfoManager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "POST /scfcloud/crm/custInfoManager/info/supplierBase.html HTTP/1.1" 200 17436
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "POST /scfcloud/crm/custInfoManager/info/finance.html HTTP/1.1" 200 81420
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "POST /scfcloud/crm/custInfoManager/info/credit.html HTTP/1.1" 200 16000
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:42 +0800] "POST /scfcloud/crm/custInfoManager/info/business.html HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/negative/list HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/taxReturns/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/bankRec/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/profit/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/cashflow/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/corp/list?_dc=1493340583506 HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/creditReport/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/uploadFile/list HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/uploadFile/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/uploadFile/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/uploadFile/list HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/corpContract/list HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/corpContract/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/litigantSituation/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:43 +0800] "POST /scfcloud/externalGuarantee/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:44 +0800] "POST /scfcloud/corp/enterpriselist?_dc=1493340583598 HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:44 +0800] "POST /scfcloud/orgnLoanCount/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:44 +0800] "POST /scfcloud/creditReport/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:44 +0800] "POST /scfcloud/corpAccount/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:44 +0800] "POST /scfcloud/shareHolder/list HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:44 +0800] "POST /scfcloud/affiliatedEnterprise/list HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:49 +0800] "POST /scfcloud/file/attachmentUpload?corpId=2c9984a75b13e6b77ab913fc56c70007&moduleType=1 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:49 +0800] "POST /scfcloud/uploadFile/list HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:49:51 +0800] "GET /scfcloud/uploadFile/attachment/2c9984a75b13e6b77ab913fc56c70007/1/2c9984ba5bb208c758c7b2090c720001.html HTTP/1.1" 200 35959
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:58:08 +0800] "POST /scfcloud/crm/custInfoManager/info/supplierBase.html HTTP/1.1" 200 17436
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:58:08 +0800] "POST /scfcloud/crm/custInfoManager/info/finance.html HTTP/1.1" 200 81420
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:58:09 +0800] "POST /scfcloud/crm/custInfoManager/info/credit.html HTTP/1.1" 200 16000
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:58:09 +0800] "POST /scfcloud/crm/custInfoManager/info/business.html HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:58:09 +0800] "POST /scfcloud/negative/list HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:58:09 +0800] "POST /scfcloud/profit/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:58:09 +0800] "POST /scfcloud/cashflow/list HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [28/Apr/2017:08:58:09 +0800] "POST /scfcloud/taxReturns/list HTTP/1.1" 200 109
