127.0.0.1 - - [14/Jun/2017:08:40:10 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:03 +0800] "GET /scfyd/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:03 +0800] "GET /scfyd/js/CloudUtils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:03 +0800] "GET /scfyd/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:04 +0800] "GET /scfyd/login/code HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:04 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "POST /scfyd/login?_dc=1497400870994 HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "GET /scfyd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "GET /scfyd/fonts/myFonts/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "GET /scfyd/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "GET /scfyd/js/bootstrap-treeview.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "GET /scfyd/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "GET /scfyd/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "GET /scfyd/css/bootstrap-reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "GET /scfyd/homePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:11 +0800] "GET /scfyd/fonts/myFonts/iconfont.woff?t=1497346957873 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:12 +0800] "GET /scfyd/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:12 +0800] "GET /scfyd/css/bootstrap-table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:12 +0800] "GET /scfyd/css/sysfun.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:12 +0800] "GET /scfyd/js/sysManager/homePage/homePage.js HTTP/1.1" 200 15297
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:12 +0800] "POST /scfyd/warning/count?_dc=1497400872659 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:12 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497400872778 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:12 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497400872885 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:12 +0800] "POST /scfyd/homeInfo/list?_dc=1497400872908 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:13 +0800] "POST /scfyd/classNews/list?_dc=1497400873010 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:13 +0800] "POST /scfyd/classNews/list?_dc=1497400873061 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:13 +0800] "POST /scfyd/internalAnnouncement/list?_dc=1497400873085 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:41:13 +0800] "POST /scfyd/document/list?_dc=1497400873126 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/project/dykManager/refundDeposit.html HTTP/1.1" 200 9123
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/css/validator/bootstrapValidator.css HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/css/bootstrap-fileupload.min.css HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/bootstrap-datetimepicker/css/datetimepicker.css HTTP/1.1" 200 12448
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/autocompleter/jquery.autocompleter.css HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/CloudUtils.js HTTP/1.1" 200 22741
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/106/css/selectordie_theme_03.css HTTP/1.1" 200 9518
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/106/js/selectordie.min.js HTTP/1.1" 200 8841
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/store.js HTTP/1.1" 200 6744
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/password.js HTTP/1.1" 200 8825
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/jquery-3.0.0.min.js HTTP/1.1" 200 86341
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/jquery.nicescroll.js HTTP/1.1" 200 59364
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/autocompleter/jquery.autocompleter.js HTTP/1.1" 200 29710
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/bootstrap-validator/zh_CN.js HTTP/1.1" 200 12283
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/bootstrap-table.js HTTP/1.1" 200 50657
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/bootstrap-fileupload.min.js HTTP/1.1" 200 3473
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/ajaxfileupload.js HTTP/1.1" 200 8442
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/bootbox-4.4.0/bootbox.js HTTP/1.1" 200 26601
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/project/dykManager/refundDeposit.js HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/jquery.number.js HTTP/1.1" 200 24833
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/advanced-datatable/js/jquery.dataTables.js HTTP/1.1" 200 377589
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:06 +0800] "GET /scfyd/js/bootstrap-validator/bootstrapValidator.js HTTP/1.1" 200 325844
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:10 +0800] "GET /scfyd/js/sysManager/homePage/homePage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:10 +0800] "POST /scfyd/warning/count?_dc=1497400930792 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:10 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497400930817 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:10 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497400930829 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:10 +0800] "POST /scfyd/homeInfo/list?_dc=1497400930845 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:10 +0800] "POST /scfyd/classNews/list?_dc=1497400930864 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:10 +0800] "POST /scfyd/classNews/list?_dc=1497400930879 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:10 +0800] "POST /scfyd/internalAnnouncement/list?_dc=1497400930896 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:42:10 +0800] "POST /scfyd/document/list?_dc=1497400930911 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/homePage.html HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/jquery-3.0.0.min.js HTTP/1.1" 200 86341
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/jquery-ui-1.9.2.custom.min.js HTTP/1.1" 200 237802
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/CloudUtils.js HTTP/1.1" 200 22741
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/bootstrap-table.js HTTP/1.1" 200 50657
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/store.js HTTP/1.1" 200 6744
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/index.js HTTP/1.1" 200 4394
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/jquery.nicescroll.js HTTP/1.1" 200 59364
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/scripts.js HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/validation-init.js HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/jquery.validate.min.js HTTP/1.1" 200 21090
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/modernizr.min.js HTTP/1.1" 200 15153
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/bootbox-4.4.0/bootbox.js HTTP/1.1" 200 26601
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/sysManager/homePage/homePage.js HTTP/1.1" 200 15297
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:11 +0800] "GET /scfyd/js/fullcalendar/fullcalendar.js HTTP/1.1" 200 124632
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:13 +0800] "GET /scfyd/js/echarts.js HTTP/1.1" 200 2433853
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:13 +0800] "POST /scfyd/warning/count?_dc=1497400993739 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:13 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497400993761 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:13 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497400993779 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:13 +0800] "POST /scfyd/homeInfo/list?_dc=1497400993793 HTTP/1.1" 200 492
